"","MODZCTA","label","NEIGHBORHOOD_NAME","BOROUGH_GROUP","COVID_CASE_COUNT","COVID_CASE_RATE","POP_DENOMINATOR","COVID_DEATH_COUNT","COVID_DEATH_RATE","PERCENT_POSITIVE","TOTAL_COVID_TESTS","numct","MedInc","sqft","sqftpc","Pop_Add_MODZCTA","rankccr","ranksqft","rankinc","ccrsqft"
"138","11366","11366","Fresh Meadows/Hillcrest","Queens",463,3360.58,13777.39,29,210.49,11.93,3882,5,78990,6335459.784954,468.183548991575,13532,59,161,116,220
"139","11367","11367","Kew Gardens Hills/Pomonok","Queens",1346,3201.77,42039.24,67,159.37,10.81,12452,11,57933,7960054.664459,193.925370050406,41047,73,136,67,209
"140","11368","11368","Corona/North Corona","Queens",5271,4723.37,111594.1,448,401.45,14.7,35856,21,50797,12539904.155928,114.070682118129,109931,5,119,44,124
"141","11369","11369","Airport/East Elmhurst","Queens",1805,4950.33,36462.23,182,499.15,13.91,12978,14,54121,1458865.659936,37.7797658924252,38615,1,78,56,79
"142","11370","11370","Jackson Heights/Rikers Island","Queens",1502,4585.05,32758.65,64,195.37,13.68,10982,6,65098,190485.432153785,4.79957246910362,39688,7,12,85,19
"143","11372","11372","Jackson Heights","Queens",2956,4724.85,62562.88,263,420.38,12.59,23479,10,56383,151650.71348,2.27580757368389,66636,4,4,61,8
"144","11373","11373","Elmhurst","Queens",3718,4003.2,92875.81,299,321.94,12.01,30964,19,51183,172046.242449,1.70646937561,100820,14,1,46,15
"145","11374","11374","Rego Park","Queens",1370,3258.21,42047.63,100,237.83,10.27,13339,11,63161,340657.274135,7.81324023245413,43600,70,25,79,95
"146","11375","11375","Forest Hills","Queens",1815,2572.53,70552.99,186,263.63,8.38,21664,21,80542,8161048.490694,118.735519920475,68733,104,121,118,225
"147","11377","11377","Woodside","Queens",2673,3091.3,86468.55,198,228.98,9.33,28661,24,57010,190776.42210379,2.12374955030379,89830,77,3,65,80
"148","11378","11378","Maspeth","Queens",882,2549.62,34593.45,74,213.91,8.59,10265,19,73333,315947.069713,9.03196219985135,34981,106,29,106,135
"149","11379","11379","Middle Village","Queens",972,2685.41,36195.55,101,279.04,8.84,10990,18,82819,1758954.70797359,50.5141928139225,34821,103,87,122,190
"150","11385","11385","Glendale/Ridgewood","Queens",2643,2567.77,102929.91,144,139.9,9.38,28191,31,72261,2124932.35674933,21.5527868057178,98592,105,51,104,156
"151","11411","11411","Cambria Heights","Queens",763,3722.99,20494.26,49,239.09,14.52,5256,13,93910.8123129543,110448.239518869,5.90253524577109,18712,28,16,141,44
"152","11412","11412","St. Albans","Queens",1369,3479.31,39346.92,91,231.28,13.23,10344,19,78517,167306.413061306,4.79635379454464,34882,45,11,115,56
"153","11413","11413","Laurelton/Rosedale","Queens",1483,3397.64,43647.97,104,238.27,13.35,11109,16,86324,1158956.68886989,29.7840431966973,38912,55,66,131,121
"154","11414","11414","Hamilton Beach/Howard Beach/Lindenwood","Queens",954,3375.13,28265.56,63,222.89,12.23,7800,4,71648,9682976.583222,370.314233716613,26148,56,155,101,211
"155","11415","11415","Kew Gardens","Queens",664,3452.18,19234.25,53,275.55,10.08,6590,5,68294,10764560.3636236,556.566897452233,19341,50,165,95,215
"156","11416","11416","Ozone Park","Queens",883,3317.75,26614.42,57,214.17,12.9,6845,10,67461,147796.367405741,5.94490838686057,24861,63,17,91,80
"157","11417","11417","Ozone Park","Queens",1014,3242.66,31270.63,49,156.7,11.52,8805,8,73424,476980.61259826,16.466344895856,28967,71,41,107,112
"158","11418","11418","Richmond Hill","Queens",1284,3369.62,38105.16,106,278.18,12.74,10081,15,66570,8753587.63520452,241.438317387592,36256,57,146,90,203
"159","11419","11419","Richmond Hill/South Ozone Park","Queens",1410,2772.93,50848.81,99,194.69,13.05,10802,17,70882,141315.572321768,2.99327640426527,47211,95,7,98,102
"160","11420","11420","South Ozone Park","Queens",1591,3286.12,48415.71,108,223.07,13.84,11498,16,67932,250686.90113466,5.65195700804121,44354,65,14,94,79
"161","11421","11421","Woodhaven","Queens",1405,3328.64,42209.49,103,244.02,13.18,10662,14,72066,14805742.8471633,378.4021991761,39127,62,156,102,218
